,case_number,year,type,country,activity,injury,mes,deceso,genero,especies,edad
18,2017.11.24,2017,Unprovoked,usa,Spearfishing,Right leg bitten,Nov,N,M,White,25.0
19,2017.11.13,2017,Unprovoked,australia,Surfing,Puncture wounds to left shoulder,Nov,N,M,Unspecified,25.0
20,2017.11.04,2017,Unprovoked,cuba,Night bathing,FATAL,Nov,Y,M,Tiger,22.0
21,2017.10.28,2017,Unprovoked,australia,Surfing,Minor injury to foot,Oct,N,M,Unspecified,31.0
22,2017.10.22,2017,Unprovoked,australia,Kayaking / Fishing,Minor injuries,Oct,N,F,White,15.0
23,2017.10.09,2017,Unprovoked,usa,Surfing,Lacerations to left hand,Oct,N,M,Tiger,54.0
24,2017.10.05,2017,Unprovoked,usa,Snorkeling,Abrasions,Oct,N,F,Unspecified,40.0
25,2017.09.24.b,2017,Invalid,usa,Surfing,"Lacerations to right ankle, foot & toe",Sep,Unknown,M,Unspecified,33.0
26,2017.09.13,2017,Unprovoked,usa,Surfing,Lacerations to left foot,Sep,N,M,Unspecified,18.0
27,2017.09.10.a,2017,Unprovoked,australia,Surfing,Minor lacerations to right hip,Sep,N,M,White,35.0
28,2017.08.29,2017,Unprovoked,australia,Surfing,"No injury, board bitten",Aug,N,M,White,37.0
29,2017.08.26.b,2017,Invalid,spain,Swimming,Lacerations to left foot,Aug,Unknown,F,Unspecified,11.0
30,2017.08.23,2017,Unprovoked,usa,SUP,Not injured by shark but board bitten,Aug,N,M,White,25.0
31,2017.08.10,2017,Unprovoked,usa,Swimming,Minor cuts to sole & toes of left foot,Aug,N,M,Unspecified,13.0
32,2017.08.03,2017,Provoked,usa,Fishing,Foot bitten by landed shark PROVOKED INCIDENT,Aug,N,M,Unspecified,34.0
33,2017.07.29.c,2017,Invalid,usa,Swimming,Abrasions and cuts to sole of foot,Jul,Unknown,M,Unspecified,10.0
34,2017.07.20.b,2017,Boating,usa,Kayaking,"No injury, kayak bitten",Jul,N,M,White,40.0
35,2017.07.20.a,2017,Unprovoked,usa,SUP,"No injury, shark bit paddleboard",Jul,N,M,White,50.0
36,2017.07.09,2017,Unprovoked,usa,Swimming,Lower legs bitten,Jul,N,M,Bull,46.0
37,2017.07.07,2017,Unprovoked,south africa,Surfing,"No injury, shark bit surfboard",Jul,N,F,White,13.0
38,2017.06.11,2017,Unprovoked,australia,Body boarding,"No injury, board bitten",Jun,N,M,White,48.0
39,2017.06.02,2017,Unprovoked,bahamas,Snorkeling,Right forearm severed ,Jun,N,F,Tiger,32.0
40,2017.05.03,2017,Invalid,usa,Surfing,"Laceration to thigh, likely caused by surfboard fin",May,Unknown,F,Unspecified,18.0
41,2017.04.17.a,2017,Unprovoked,australia,Surfing,FATAL,Apr,Y,F,White,17.0
42,2017.04.14,2017,Unprovoked,usa,Surfing,Lower right leg severely injured,Apr,N,M,Tiger,28.0
43,2017.04.02.a,2017,Unprovoked,usa,Swimming,Lacerations to thighs,Apr,N,F,Bull,17.0
44,2017.01.21,2017,Unprovoked,australia,Scuba Diving,"Multiple injuries to arm, wrist and torso",Jan,N,M,Bull,55.0
45,2017.01.09,2017,Unprovoked,indonesia,Surfing,Injury to right wrist & forearm,Jan,N,M,Bull,48.0
46,2017.01.03,2017,Invalid,australia,Wading,Minor injuries to foot & toes,Jan,Unknown,M,Unspecified,20.0
47,2016.12.19,2016,Unprovoked,south africa,Surf skiing ,"No injury, but ski severely damaged",Dec,N,M,White,55.0
48,2016.12.11.a,2016,Invalid,usa,Surfing,Cuts to right ankle & foot,Dec,Unknown,M,Unspecified,19.0
49,2016.12.06,2016,Provoked,australia,Surf fishing,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,Dec,N,M,Unspecified,20.0
50,2016.12.01,2016,Unprovoked,australia,Surfing,Injuries to foot & arm,Dec,N,M,White,65.0
51,2016.11.28,2016,Provoked,australia,Fishing,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,Nov,N,M,Unspecified,25.0
52,2016.11.14,2016,Unprovoked,usa,Floating,Injuries to right calf and thigh,Nov,N,F,Tiger,58.0
53,2016.10.21,2016,Unprovoked,usa,Surfing,Left arm and leg injured,Oct,N,M,Unspecified,36.0
54,2016.09.26,2016,Unprovoked,australia,Surfing,4 deep lacerations to thigh,Sep,N,M,White,17.0
55,2016.09.11,2016,Unprovoked,usa,Wading,Minor injury to arm,Sep,N,M,Unspecified,60.0
56,2016.09.07,2016,Unprovoked,usa,Swimming,Severe lacerations to shoulder & forearm,Sep,N,F,Tiger,51.0
57,2016.08.29.b,2016,Unprovoked,usa,Surfing,Lacerations to right foot,Aug,N,M,Bull,25.0
58,2016.08.06,2016,Unprovoked,usa,SUP Foil boarding,"No inury, shark & board collided",Aug,N,M,Tiger,21.0
59,2016.07.29,2016,Unprovoked,spain,Swimming,Lacerations to right hand,Jul,N,M,Unspecified,40.0
60,2016.07.20,2016,Provoked,australia,Fishing,Laceration to left calf from hooked shark PROVOKED INCIDENT,Jul,N,M,Unspecified,31.0
61,2016.07.15.b,2016,Unprovoked,usa,Kite surfing,"No injury, board damaged",Jul,N,M,White,61.0
62,2016.07.07.b,2016,Provoked,usa,Fishing,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,Jul,N,M,Unspecified,59.0
63,2016.07.04,2016,Provoked,australia,Fishing,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,Jul,N,M,Unspecified,34.0
64,2016.06.21.b,2016,Unprovoked,usa,Floating,Lacerations and punctures to foot,Jun,N,M,Unspecified,42.0
65,2016.06.14,2016,Unprovoked,usa,Floating in tube,Injury to lower leg,Jun,N,F,Unspecified,6.0
66,2016.06.11,2016,Unprovoked,usa,Standing,Laceration to wrist,Jun,N,M,Unspecified,19.0
67,2016.06.07,2016,Invalid,usa,Surfing,"No injury, board damaged",Jun,Unknown,M,Unspecified,27.0
68,2016.06.05.a,2016,Unprovoked,australia,Diving,FATAL,Jun,Y,F,Unspecified,60.0
69,2016.06.04,2016,Unprovoked,egypt,Swimming,"Leg severely bitten, surgically amputated",Jun,N,M,Unspecified,23.0
70,2016.05.31,2016,Unprovoked,australia,Surfing,FATAL,May,Y,M,White,29.0
71,2016.05.29.a,2016,Unprovoked,usa,Swimming,Injury to posterior right leg,May,N,M,Unspecified,13.0
72,2016.05.21.b,2016,Unprovoked,usa,Swimming,Lacerations and puncture wounds to foot and ankle,May,N,F,Bull,22.0
73,2016.05.18,2016,Unprovoked,usa,Swimming,Ankle bitten,May,N,M,Unspecified,48.0
74,2016.05.15,2016,Provoked,usa,Teasing a shark,Arm grabbed PROVOKED INCIDENT,May,N,F,Unspecified,23.0
75,2016.05.02,2016,Provoked,new zealand,Fishing,Foot bitten by landed shark PROVOKED INCIDENT,May,N,M,Unspecified,39.0
76,2016.04.25,2016,Unprovoked,indonesia,Surfing,Elbow bitten,Apr,N,M,Bull,24.0
77,2016.04.19,2016,Unprovoked,australia,Swimming,Minor puncture wound to foot,Apr,N,M,Unspecified,12.0
78,2016.04.18.b,2016,Provoked,french polynesia,Spearfishing,Laceration to knee by speared shark PROVOKED INCIDENT,Apr,Unknown,M,Grey,22.0
79,2016.04.18.a,2016,Provoked,french polynesia,Spearfishing,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",Apr,N,M,Grey,26.0
80,2016.04.09,2016,Unprovoked,new caledonia,Walking,FATAL,Apr,Y,F,Tiger,25.0
81,2016.01.23,2016,Unprovoked,usa,Paddle boarding,No injury,Jan,N,M,Tiger,48.0
82,2016.01.05,2016,Unprovoked,australia,Wading,Laceration to right calf,Jan,N,M,Unspecified,11.0
83,2016.01.02,2016,Unprovoked,australia,Spearfishing,Lacerations to arms & leg,Jan,N,M,Unspecified,31.0
84,2015.12.22,2015,Unprovoked,usa,Paddle boarding,"No injury, shark bit board",Dec,N,M,Unspecified,25.0
85,2015.12.21.b,2015,Unprovoked,australia,Surfing,"No injury, shark leapt on surfboard",Dec,N,M,Unspecified,43.0
86,2015.11.20,2015,Unprovoked,ecuador,Snorkeling,Lacerations to left calf,Nov,N,M,Unspecified,55.0
87,2015.11.10,2015,Unprovoked,australia,Surfing,Injury to left thigh,Nov,N,M,Bull,20.0
88,2015.12.23,2015,Invalid,usa,Surfing,Lower left leg injured,Nov,Unknown,F,Unspecified,9.0
89,2015.11.01.b,2015,Unprovoked,usa,Wading,Injury to right ankle/calf & hand,Nov,N,F,Unspecified,28.0
90,2015.10.25,2015,Unprovoked,south africa,Surfing,"Lacerations to right calf, knee & hip",Oct,N,M,White,42.0
91,2015.10.21,2015,Unprovoked,usa,Surfing,Lacerations to left hand,Oct,N,M,Unspecified,21.0
92,2015.10.19,2015,Unprovoked,usa,Surfing,Left foot bitten,Oct,N,M,Unspecified,21.0
93,2015.10.17.b,2015,Invalid,usa,Surfing,Left foot bitten by eel,Oct,Unknown,M,Unspecified,32.0
94,2015.10.17.a,2015,Unprovoked,usa,Swimming,Severe injuries to lower legs. Foot later surgically amputated.,Oct,N,M,Tiger,44.0
95,2015.10.09.a,2015,Unprovoked,usa,Surfing,"Left leg severed below the knee, defense injuries to left hand",Oct,N,M,Tiger,25.0
96,2015.10.05.a,2015,Unprovoked,usa,Wading,Foot & hands bitten,Oct,N,M,Unspecified,13.0
97,2015.10.04,2015,Unprovoked,usa,Surfing,Severe lacerations to left hand,Oct,N,M,Unspecified,14.0
98,2015.09.29,2015,Unprovoked,usa,Surfing,"Laceration to heel, puncture wounds to dorsum of foot",Sep,N,M,Unspecified,22.0
99,2015.09.20.d,2015,Unprovoked,usa,Surfing,Minor injury to left ankle,Sep,N,M,Unspecified,14.0
100,2015.09.20.c,2015,Unprovoked,usa,Spearfishing,Severe laceration to left leg,Sep,N,M,Tiger,27.0
101,2015.09.20.b,2015,Unprovoked,usa,Wading,Significant injuries to leg,Sep,N,M,Unspecified,12.0
102,2015.09.08,2015,Unprovoked,australia,Surfing,Minor laceration to hand,Sep,N,M,Unspecified,42.0
103,2015.09.06,2015,Unprovoked,usa,Stand-Up Paddleboarding,"No injury, shark struck board, tossing her into the sea",Sep,N,F,White,50.0
104,2015.09.05,2015,Provoked,usa,Kayak Fishing,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,Sep,N,M,Unspecified,29.0
105,2015.09.04,2015,Unprovoked,australia,Surf-skiing,Inuries to lower left leg & ankle,Sep,N,M,White,62.0
106,2015.09.01,2015,Unprovoked,thailand,Wading,Left foot & ankle bitten,Sep,N,F,Unspecified,37.0
107,2015.08.29.b,2015,Unprovoked,usa,Surfing,"No injury, surfboard bitten",Aug,N,F,White,54.0
108,2015.08.29.a,2015,Unprovoked,usa,Surfing,"No injury, shark struk sufer's leg and his board",Aug,N,M,White,21.0
109,2015.08.20,2015,Unprovoked,usa,Surfing,"Injuries to left calf, arm and hand",Aug,N,M,Unspecified,15.0
110,2015.08.19,2015,Unprovoked,usa,Walking,Lacerations to right leg,Aug,N,F,Unspecified,10.0
111,2015.08.18.b,2015,Boating,usa,Kayak Fishing,"No injury, kayak bitten",Aug,N,M,White,22.0
112,2015.08.18.a,2015,Invalid,spain,Swimming,Minor injury when he attempted to touch a fish. ,Aug,Unknown,M,Unspecified,10.0
113,2015.08.10,2015,Provoked,usa,Spearfishing,Right hand bitten  PROVOKED INCIDENT,Aug,N,M,Unspecified,57.0
114,2015.07.31,2015,Unprovoked,australia,Surfing,"Lacerations and puncture wounds to hip, thigh, arm and hand",Jul,N,M,White,52.0
115,2015.07.26.b,2015,Unprovoked,usa,Surfing,Minor injury to sole of foot,Jul,N,M,Unspecified,25.0
116,2015.07.26.a,2015,Invalid,usa,Floating,"2' cut to dorsum of foot, 2 puncture wounds to sole",Jul,Unknown,F,Unspecified,35.0
117,2015.07.25,2015,Unprovoked,australia,Scallop diving on hookah,FATAL,Jul,Y,M,White,46.0
118,2015.07-10,2015,Unprovoked,usa,Surfing,"No injury, shark bumped & damaged board",Jul,N,M,White,38.0
119,2015.07.03,2015,Unprovoked,australia,Surfing,"No injury, shark bit surfboard",Jul,N,M,White,52.0
120,2015.07.02,2015,Unprovoked,australia,Body boarding ,Significant injuries to lower legs,Jul,N,M,White,32.0
121,2015.07.01,2015,Unprovoked,usa,Swimming,"Injuries to torso, hip, lower leg & hands",Jul,N,M,Unspecified,25.0
122,2015.06.30.a,2015,Unprovoked,usa,Playing in the water,Shallow lacerations & puncture to lateral left leg,Jun,N,M,Unspecified,12.0
123,2015.06.27.b,2015,Unprovoked,usa,Swimming,"Injuries to right calf, buttock and both hands",Jun,N,M,Bull,18.0
124,2015.06.27.a,2015,Unprovoked,south africa,Body Boarding,"Right leg severed, multiple lacerations to left leg",Jun,N,M,White,19.0
125,2015.06.26.b,2015,Unprovoked,south africa,Surfing,Multiple lacerations to torso & leg,Jun,N,M,White,23.0
126,2015.06.26.a,2015,Unprovoked,usa,Standing,Puncture wounds to foot,Jun,N,M,Unspecified,43.0
127,2015.06.24.b,2015,Unprovoked,usa,Swimming,Minor injury to foot,Jun,N,M,Tiger,6.0
128,2015.06.24.a,2015,Invalid,australia,Surfing,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",Jun,N,F,White,37.0
129,2015.06.14.b,2015,Unprovoked,usa,Wading,Arm amputated below shoulder,Jun,N,M,Bull,16.0
130,2015.06.14.a,2015,Unprovoked,usa,Wading,Left arm amputated at elbow & severe injury to leg,Jun,N,F,Bull,12.0
131,2015.06.11,2015,Unprovoked,usa,Boogie boarding,Minor lacerations to foot,Jun,N,F,Unspecified,13.0
132,2015.06.07,2015,Unprovoked,usa,Playing,Lacerations to right calf,Jun,N,M,Bull,11.0
133,2015.06.01,2015,Unprovoked,reunion,Surfing,Left forearm bitten,Jun,N,M,Bull,47.0
134,2015.05.25,2015,Unprovoked,french polynesia,Spearfishing,Lacerations to right forearm,May,N,M,Unspecified,19.0
135,2015.05.20,2015,Unprovoked,usa,Surfing,2 puncture wounds to  dorsum of left foot,Unknown,N,M,Unspecified,18.0
136,2015.05.02,2015,Unprovoked,south africa,Diving,"Injuries to leg, left arm & both hands",May,N,M,White,29.0
137,2015.04.26,2015,Unprovoked,usa,Wading,Lacerations to left calf,Apr,N,M,Unspecified,63.0
138,2015.04.25,2015,Unprovoked,australia,Surfing,Leg severed at mid-thigh,Apr,N,M,White,26.0
139,2015.04.24.c,2015,Unprovoked,australia,Surf skiing ,"No injury, knocked off ski",Jun,N,M,White,25.0
140,2015.04.12,2015,Unprovoked,reunion,Surfing,FATAL,Apr,Y,M,Bull,13.0
141,2015.04.03,2015,Unprovoked,usa,Spearfishing,Injuries to head & torso,Apr,N,M,Bull,25.0
142,2015.03.31,2015,Invalid,brazil,Surfing,Injury to left thigh from unidentified species of fish; injuries inconsistent with shark bite,Mar,Unknown,M,Unspecified,23.0
143,2015.03.18,2015,Unprovoked,usa,Standing / Snorkeling,Lacerations to left forearm. Lacerations to left hand and thigh,Mar,N,M,Tiger,58.0
144,2015.03.16,2015,Unprovoked,french polynesia,Hand feeding sharks,Hand bitten,Mar,N,M,Unspecified,9.0
145,2015.02.14,2015,Unprovoked,reunion,Swimming,FATAL,Feb,Y,F,Tiger,22.0
146,2015.02.09,2015,Unprovoked,australia,Surfing,FATAL,Feb,Y,M,Unspecified,41.0
147,2015.02.08,2015,Unprovoked,australia,Surfing,Laceration & puncture wounds to right flank & hip,Feb,N,M,Unspecified,35.0
148,2015.01.30,2015,Boating,australia,Rowing,"No injury, shark's teeth scratched hull",Jan,N,M,Bull,57.0
149,2015.01.27,2015,Provoked,usa,Shark fishing,Lacerations to calf by hooked shark PROVOKED INCIDENT,Jan,N,M,Unspecified,20.0
150,2015.01.06,2015,Unprovoked,bahamas,Snorkeling,Severe bite to right flank,Jan,N,F,White,34.0
151,2015.01.03,2015,Unprovoked,south africa,Surfing,"Lacerations to lower left leg, puncture wounds to sole of left foot",Jan,N,M,Unspecified,15.0
152,2014.12.29.a,2014,Unprovoked,australia,Spearfishing,FATAL,Dec,Y,M,White,17.0
153,2014.12.28.b,2014,Unprovoked,usa,Surfing,Injury to hip/leg,Dec,N,M,White,50.0
154,2014.12.28.a,2014,Provoked,australia,Fishing,Laceration to calf when he fell on shark he had caught PROVOKED INCIDENT,Dec,N,M,Unspecified,40.0
155,2014.12.15,2014,Unprovoked,australia,Spearfishing,FATAL,Dec,Y,M,Tiger,17.0
156,2014.11.16,2014,Unprovoked,usa,Surfing,Laceration to left hand,Nov,N,M,Unspecified,44.0
157,2014.11.13,2014,Unprovoked,usa,Snorkeling,Laceration to left upper leg,Nov,N,M,Unspecified,53.0
158,2014.10.31,2014,Unprovoked,usa,Surfing,Lacerations to fingers,Oct,N,F,Tiger,34.0
159,2014.10.17,2014,Unprovoked,australia,Surfing,"Lacerations to left calf & ankle, puncture wounds to left foot",Oct,N,F,Unspecified,13.0
160,2014.10.05.b,2014,Unprovoked,usa,Surfing,Foot bitten,Oct,N,M,Unspecified,29.0
161,2014.10.05.a,2014,Unprovoked,usa,Surfing,Foot bitten,Oct,N,M,Unspecified,15.0
162,2014.10.02.b,2014,Unprovoked,usa,Surfing,Lacerations to knee,Oct,N,M,Unspecified,28.0
163,2014.10.02.a,2014,Unprovoked,australia,Surfing,"Left arm & right hand severed, lacerations to both legs",Oct,N,M,White,23.0
164,2014.09.09,2014,Unprovoked,australia,Swimming,FATAL,Sep,Y,M,Unspecified,50.0
165,2014.09.06,2014,Unprovoked,usa,Fishing ,Leg bitten,Sep,N,M,Bull,43.0
166,2014.09.03,2014,Boating,usa,Kayaking ,"No injury, shark bit kayak",Sep,N,F,White,20.0
167,2014.09.02,2014,Provoked,usa,Fishing,Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT,Sep,N,M,Unspecified,52.0
168,2014.08.31,2014,Unprovoked,usa,Body surfing,Injury to left calf,Aug,N,F,Unspecified,13.0
169,2014.08.08,2014,Unprovoked,usa,Swimming,Minor lacerations to left heel and big toe,Aug,N,M,Bull,7.0
170,2014.08.06,2014,Unprovoked,usa,Boogie boarding,Lacerations to right leg & foot,Aug,N,M,Unspecified,10.0
171,2014.08.01,2014,Unprovoked,south africa,Surfing,Lower limbs & thigh bitten,Aug,N,M,White,20.0
172,2014.07.16,2014,Unprovoked,usa,Swimming,Lacerations to left foot,Jul,N,M,Unspecified,61.0
173,2014.07.14,2014,Unprovoked,usa,Swimming,Puncture wounds to foot,Jul,N,M,Unspecified,39.0
174,2014.07.13,2014,Invalid,bahamas,Shark diving,"Missing after a dive, shark involvement considered probable, but not confirmed",Jul,Unknown,M,Unspecified,63.0
175,2014.07.03,2014,Unprovoked,usa,Body surfing,Right hand bitten,Jul,N,M,Unspecified,19.0
176,2014.06.09.b,2014,Unprovoked,usa,Standing,"Abrasion to right hand, lacerations to left forearm",Jun,N,M,Unspecified,16.0
177,2014.06.09.a,2014,Unprovoked,australia,Body boarding,Minor injury to torso,Jun,N,M,Unspecified,39.0
178,2014.06.01.c,2014,Unprovoked,usa,Swimming,Laceration to right lower leg,Jun,N,F,Bull,22.0
179,2014.05.14,2014,Unprovoked,australia,Surfing,"No injury, but surfboard severely damaged",May,N,M,White,35.0
180,2014.05.06,2014,Unprovoked,usa,Swimming,Lacerations to left foot,May,N,F,Unspecified,40.0
181,2014.05.01,2014,Unprovoked,usa,Surfing,Laceration to right hand and cuts on fingertips,May,N,M,Unspecified,23.0
182,2014.04.03,2014,Unprovoked,australia,Swimming,FATAL,Apr,Y,F,White,63.0
183,2014.03.29,2014,Invalid,australia,Diving for lobsters,Shark bites may have been post mortem,Mar,Unknown,M,Unspecified,38.0
184,2014.03.22.b,2014,Unprovoked,south africa,Swimming,FATAL,Mar,Y,M,Unspecified,25.0
185,2014.02.20,2014,Unprovoked,french polynesia,Kitesurfing,Lacerations to lower leg,Feb,N,M,Unspecified,21.0
186,2014.02.07,2014,Unprovoked,new zealand,Surfing,Lacerations to leg,Feb,N,M,Unspecified,28.0
187,2013.12.25,2013,Unprovoked,new caledonia,Snorkeling,Leg bitten,Dec,N,M,Bull,37.0
188,2013.12.16,2013,Unprovoked,south africa,Surfing,Injuries to left thigh,Dec,N,M,White,19.0
189,2013.12.11,2013,Unprovoked,usa,Boogie boarding,Lacerations to right hand & knee,Dec,N,M,Tiger,29.0
190,2013.12.10,2013,Unprovoked,usa,Surfing,Right foot bitten,Dec,N,M,Unspecified,30.0
191,2013.12.05,2013,Unprovoked,australia,Surfing,"Puncture wounds to hand, laceration to leg",Dec,N,M,Unspecified,26.0
192,2013.11.30,2013,Unprovoked,australia,Body boarding,FATAL,Nov,Y,M,Tiger,19.0
193,2013.11.23.a,2013,Unprovoked,australia,Surfing,FATAL,Nov,Y,M,White,35.0
194,2013.11.22,2013,Unprovoked,usa,Surfing,"No injury, board bitten",Nov,N,M,White,25.0
195,2013.10.31,2013,Unprovoked,usa,Kiteboarding,Severe bite to right calf & anklel,Oct,N,M,Tiger,46.0
196,2013.10.28,2013,Unprovoked,australia,Snorkeling,Lacerations to right arm,Oct,N,F,Unspecified,60.0
197,2013.10.26.b,2013,Unprovoked,reunion,Body boarding,Right leg severed,Oct,N,M,Bull,24.0
198,2013.10.24,2013,Unprovoked,australia,Surfing,Injuries to right foot,Oct,N,M,Unspecified,41.0
199,2013.10.23,2013,Unprovoked,usa,Diving ,"3"" laceration to left hip",Oct,N,M,White,45.0
200,2013.10.20,2013,Unprovoked,usa,Surfing,"No injury, shark bit surfboard",Oct,N,M,Tiger,25.0
201,2013.10.19,2013,Unprovoked,usa,Wading,Bitten on left calf & foot,Oct,N,M,Unspecified,6.0
202,2013.10.11,2013,Unprovoked,south africa,Swimming / snorkeling,FATAL,Oct,Y,M,White,25.0
203,2013.10.08,2013,Unprovoked,australia,Diving for Abalone,"Injuries to torso, head and face",Oct,N,M,White,55.0
204,2013.10.05,2013,Unprovoked,usa,Surfing,Laceration to thigh,Oct,N,M,White,45.0
205,2013.09.14,2013,Unprovoked,usa,Swimming,Lacerations to right foot,Sep,N,M,Bull,21.0
206,2013.09.12,2013,Unprovoked,usa,Surfing,Heel bitten,Sep,N,F,Unspecified,13.0
207,2013.09.07.b,2013,Provoked,usa,Surfing,Foot bitten when he accidentally jumped onto the shark PROVOKED INCIDENT,Sep,N,M,Unspecified,43.0
208,2013.09.07.a,2013,Unprovoked,usa,Standing,"Minor injury, shin bitten",Sep,N,M,Unspecified,25.0
209,2013.09.01.a,2013,Unprovoked,usa,Casting a net,Lacerations to left calf,Sep,N,M,Unspecified,9.0
210,2013.08.14,2013,Unprovoked,usa,Snorkeling,FATAL,Aug,Y,F,Tiger,20.0
211,2013.08.11,2013,Unprovoked,usa,Surfing,"No injury, shark became entangled in his surfboard leash",Aug,N,M,Bull,10.0
212,2013.08.05,2013,Unprovoked,usa,Fishing,Minor injury to foot & shin,Aug,N,M,Bull,17.0
213,2013.07.29.c,2013,Unprovoked,bahamas,Spearfishing,Leg bitten,Jul,N,M,Unspecified,40.0
214,2013.07.29.a,2013,Unprovoked,usa,Surfing,Lower leg bitten,Jul,N,M,Tiger,18.0
215,2013.07.28.b,2013,Unprovoked,bahamas,Cleaning fish,Bitten on left hand,Jul,N,M,Unspecified,64.0
216,2013.06.25.a,2013,Unprovoked,usa,Swimming,"Bitten on lower right leg, reported as a minor injury",Jun,N,M,Unspecified,14.0
217,2013.06.18,2013,Unprovoked,usa,Swimming,Right thigh & calf bitten,Jun,N,M,Tiger,28.0
218,2013.06.14.R,2013,Unprovoked,usa,Boogie Boarding,Puncture marks to hand,Jun,N,F,Unspecified,10.0
219,2013.05.14,2013,Unprovoked,ecuador,Surfing,Superficial injury to left calf,May,N,M,Unspecified,29.0
220,2013.05.08.a,2013,Unprovoked,reunion,Body boarding,FATAL,May,Y,M,Bull,36.0
221,2013.05.04.a,2013,Unprovoked,usa,Surfing,Lacerations to left foot and ankle,May,N,M,Unspecified,16.0
222,2013.04.24,2013,Unprovoked,mexico,Swimming,Avulsion injury  to lower right leg,Apr,N,F,Tiger,34.0
223,2013.04.21,2013,Unprovoked,australia,Fishing,Puncture wounds and lacerations to both legs,Apr,N,M,Grey,51.0
224,2013.04.17,2013,Unprovoked,usa,Playing in the surf,Lacerations to right foot,Apr,N,M,Unspecified,9.0
225,2013.04.13.b,2013,Unprovoked,usa,Surfing,Minor lacerations to right hand,Apr,N,M,Bull,21.0
226,2013.04.10,2013,Unprovoked,french polynesia,Kite boarding,"Underside of board, fins and, harness were damaged, and left  hip, thigh and buttock sustained puncture wounds",Apr,N,M,Unspecified,53.0
227,2013.04.02.a,2013,Unprovoked,usa,Surfing,Right thigh bitten,Apr,N,M,Unspecified,58.0
228,2013.03.16.b,2013,Provoked,south africa,Fishing - 'tag & release',Lacerations to left calf and heel from hooked shark PROVOKED INCIDENT,Mar,N,M,Unspecified,30.0
229,2013.03.12,2013,Unprovoked,jamaica,Spearfishing,FATAL,Mar,Y,M,Tiger,25.0
230,2013.03.10.b,2013,Unprovoked,australia,Spearfishing,Laceration to left hand,Mar,N,M,Unspecified,28.0
231,2013.02.27,2013,Unprovoked,new zealand,Swimming,FATAL,Feb,Y,M,White,46.0
232,2013.02.10,2013,Unprovoked,usa,Surfing,Lacerations to right hand,Feb,N,M,Unspecified,16.0
233,2013.02.09,2013,Unprovoked,french polynesia,Scuba diving,Lacerations to right arm & thigh,Feb,N,M,Lemon,48.0
234,2013.01.16,2013,Unprovoked,usa,Surfing,Left forearm bitten ,Jan,N,M,Tiger,43.0
